Job Title,Company Name,Job Location,Salary Information,Mode of Work,Industry,State,Lower Salary Range USD(k/yr),Upper Salary Range USD(k/yr),Mean Salary Range USD(k/yr)
Landscape Architect ,Phaidon International,"Florida, United States",$90K/yr - $200K/yr,Remote,Other,FL,90.0,200.0,145.0
Design-Build Roadway Lead,Horrocks,"Cottonwood Heights, UT","$130K/yr - $180K/yr · 401(k), +1",On-site,Other,UT,130.0,180.0,155.0
Construction Safety Manager,PEG Staffing & Recruiting,Greater St. Louis,$100K/yr - $150K/yr + Bonus · 4 benefits,On-site,Other,,100.0,150.0,125.0
Professional Surveyor/Project Manager,Horrocks,"Albuquerque, NM","$85K/yr - $125K/yr · 401(k), +1",On-site,Other,NM,85.0,125.0,105.0
"Puget Sound Region Water and Environment Market Leader - Seattle, WA ","David Evans and Associates, Inc.","Seattle, WA","$185K/yr · 401(k), +1",On-site,Other,WA,185.0,185.0,185.0
Senior Transit Project Manager (Design Build) ,HNTB,"Chicago, IL",$171.9K/yr - $343.2K/yr,On-site,Other,IL,171.9,343.2,257.55
Proposal Manager ,Flatiron Construction,"Concord, CA",$115K/yr - $120K/yr · 401(k),On-site,Other,CA,115.0,120.0,117.5
Electrical Engineer,Naval Facilities Engineering Systems Command (NAVFAC),"Spokane, WA","$87.2K/yr - $113.4K/yr · Medical, Vision, +5 benefits",Hybrid,Tech,WA,87.2,113.4,100.30000000000001
Lead Door & Window Installer ,iHire,"Syracuse, NY","$25/hr - $35/hr · 401(k), Dental, Medical, Vision",On-site,Other,NY,52.0,72.8,62.4
Project Manager Civil ,Hays,Greater Orlando,"$100K/yr - $130K/yr · 401(k), +3 benefits",On-site,Other,,100.0,130.0,115.0
Senior Civil Engineer ,Sterling Engineering,"Naperville, IL",$100K/yr - $130K/yr · 4 benefits,Hybrid,Tech,IL,100.0,130.0,115.0
Senior Project Manager - Geotechnical Engineering ,Langan Engineering & Environmental Services,"San Francisco, CA","$123.5K/yr - $171K/yr · 401(k), +1",On-site,Tech,CA,123.5,171.0,147.25
Irrigation Engineer ,HDR,"Butte, MT","$70K/yr - $95K/yr · 401(k), +1",On-site,Tech,MT,70.0,95.0,82.5
Senior Water Resources Engineer,Fuss & O'Neill,"Boston, MA","$100K/yr - $110K/yr · 401(k), +1",Hybrid,Tech,MA,100.0,110.0,105.0
Highway Maintenance Worker 1/ Trainee 1/ Trainee 2 (Region 9 - Schoharie/Delaware No),NYS Department of Transportation,"Schoharie County, NY",$47.7K/yr - $57.3K/yr,On-site,Law,NY,47.7,57.3,52.5
Senior Estimator ,Shimmick Corporation,"Irvine, CA",$145K/yr - $195K/yr · 401(k),On-site,Other,CA,145.0,195.0,170.0
"Civil Engineer - Hybrid, & Onsite Available ",HC Solutions Group,"North Carolina, United States",$70K/yr - $140K/yr · 4 benefits,Hybrid,Tech,NC,70.0,140.0,105.0
Civil Site Professional Engineer (PE),"Meridian Associates, Inc.","Beverly, MA",$90K/yr - $110K/yr,On-site,Tech,MA,90.0,110.0,100.0
Civil Engineer ,Insight Global,"San Antonio, Texas Metropolitan Area",$90K/yr - $130K/yr · 4 benefits,On-site,Tech,TX,90.0,130.0,110.0
Project Manager ,"Skidmore, Owings & Merrill (SOM)","Los Angeles, CA","$80K/yr - $95K/yr · 401(k), +1",Hybrid,Other,CA,80.0,95.0,87.5
Field Engineer - Kiewit Power Delivery ,Kiewit,"Westlake, TX",$66.6K/yr,On-site,Tech,TX,66.6,66.6,66.6
Project Manager (Highway/Bridge) ,Hays,Greater Tampa Bay Area,"$120K/yr - $150K/yr · 401(k), +3 benefits",On-site,Other,,120.0,150.0,135.0
Highway Maintenance Worker 1/Highway Maintenance Worker Trainee 1/Highway Maintenance Worker Trainee 2(Region 7),NYS Department of Transportation,"Malone, NY",$46.6K/yr - $50.9K/yr,On-site,Other,NY,46.6,50.9,48.75
Geotechnical Practice Leader - Earthquake Engineering ,Langan Engineering & Environmental Services,"Irvine, CA","$112.5K/yr - $171K/yr · 401(k), +1",On-site,Tech,CA,112.5,171.0,141.75
Environmental/Air Compliance Professional ,Haley & Aldrich,"Hartford, CT",$70K/yr - $100K/yr,Hybrid,Other,CT,70.0,100.0,85.0
Regional Sustainable Design Lead ,"Skidmore, Owings & Merrill (SOM)","New York, NY","$120K/yr - $170K/yr · 401(k), +1",On-site,Other,NY,120.0,170.0,145.0
"Mechanical, Electrical, and Plumbing Engineer ",Bureau Veritas Group,Dallas-Fort Worth Metroplex,$120K/yr · 1,Hybrid,Tech,,120.0,120.0,120.0
Senior Cyber Application Developer ,Peraton,"Fort Meade, MD",$112K/yr - $179K/yr · 2 benefits,On-site,Tech,MD,112.0,179.0,145.5
Water Resources Engineer - 4-10 Years of Experience ,Ayres Associates,"Fort Collins, CO","$80K/yr - $120K/yr · 401(k), Vision",On-site,Tech,CO,80.0,120.0,100.0
Design-Build Structures Lead,Horrocks,"Spokane, WA","$130K/yr - $180K/yr · 401(k), +1",On-site,Other,WA,130.0,180.0,155.0
Civil Engineering Analyst ,Kimley-Horn,"Broomfield, CO",$78K/yr - $89K/yr,On-site,Tech,CO,78.0,89.0,83.5
Senior Industrial Control System Cyber Threat Intelligence Analyst ,Peraton,"Arlington, VA",$146K/yr - $234K/yr · 2 benefits,Hybrid,Other,VA,146.0,234.0,190.0
Civil Engineering Specialist ,STV,"Atlanta, GA","$64K/yr - $85.4K/yr · Medical, Dental, Vision, 401(k), +1",On-site,Tech,GA,64.0,85.4,74.7
Civil Engineering Analyst ,Kimley-Horn,"Baltimore, MD",$82K/yr - $85K/yr,On-site,Tech,MD,82.0,85.0,83.5
Entry Level Environmental-Engineer ,AECOM,"Raleigh, NC",$55K/yr - $70K/yr · 1,On-site,Tech,NC,55.0,70.0,62.5
Professional Engineer - Site Development,Horrocks,"St George, UT","$110K/yr - $140K/yr · 401(k), +1",On-site,Tech,UT,110.0,140.0,125.0
Project Engineer ,Shimmick Corporation,"San Diego, CA",$125K/yr - $135K/yr,On-site,Tech,CA,125.0,135.0,130.0
Highway Maintenance Worker 1/ Trainee 1/ Trainee 2 (Cayuga County-Region 3),NYS Department of Transportation,"Cayuga County, NY",$46.7K/yr - $50.9K/yr,On-site,Other,NY,46.7,50.9,48.8
Transportation Civil Design Engineer ,"Kittelson & Associates, Inc.","Washington, DC","$91K/yr - $121K/yr · 401(k), Medical",On-site,Tech,DC,91.0,121.0,106.0
Construction Project Manager,C.SEC | An Executive Search Firm,"Irvine, CA","$135K/yr - $195K/yr + Bonus, Stock options · 401(k), +6 benefits",On-site,Other,CA,135.0,195.0,165.0
Field Engineer Intern ,Flatiron Construction,"Pinehurst, NC",$23/hr - $27/hr · 401(k),On-site,Tech,NC,47.84,56.16,52.0
"Consultant, Routing and Siting (Mid-Level) ",ERM,"Cleveland, OH","$74.3K/yr - $83.7K/yr · 401(k), +1",On-site,Business,OH,74.3,83.7,79.0
Traffic Engineer ,Michael Baker International,"New York, NY",$83.8K/yr - $95K/yr,Hybrid,Tech,NY,83.8,95.0,89.4
Highway Maintenance Worker 1/Highway Maintenance Worker Trainee 1/Highway Maintenance Worker Trainee 2(Region 7),NYS Department of Transportation,"Potsdam, NY",$46.6K/yr - $50.9K/yr,On-site,Other,NY,46.6,50.9,48.75
Land Development Project Manager,Technical Hires,"San Antonio, Texas Metropolitan Area","$125K/yr - $150K/yr · 401(k), +5 benefits",On-site,Other,TX,125.0,150.0,137.5
Continual Service Improvement (CSI) and Organization Change Management (OCM) Director ,Peraton,"Doral, FL",$112K/yr - $179K/yr · 2 benefits,On-site,Other,FL,112.0,179.0,145.5
Senior Wastewater Engineer (Hybrid Opportunity),Fuss & O'Neill,"Hartford, CT",$100K/yr - $120K/yr,Hybrid,Tech,CT,100.0,120.0,110.0
Utilities Engineer ,Insight Global,"Charlottesville, VA",$100K/yr - $120K/yr,On-site,Tech,VA,100.0,120.0,110.0
Senior Revenue Accountant ,Simpson Strong-Tie,"Pleasanton, CA",$71.5K/yr - $137.3K/yr,On-site,Business,CA,71.5,137.3,104.4
Service and Repair Mechanic (Motor Equipment) Region 6 Allegany Co.,NYS Department of Transportation,"Friendship, NY",$47.5K/yr - $56.5K/yr,On-site,Other,NY,47.5,56.5,52.0
Senior Civil / Highway Engineer ,AECOM,"Pittsburgh, PA",$120K/yr - $180K/yr · 1,Hybrid,Tech,PA,120.0,180.0,150.0
Senior Professional Engineer - Water Resources,Horrocks,"Albuquerque, NM","$100K/yr - $150K/yr · 401(k), +1",On-site,Tech,NM,100.0,150.0,125.0
Scheduler ,"Hill International, Inc.","New York, New York, United States","$100K/yr - $125K/yr · 401(k), +2 benefits",On-site,Other,NY,100.0,125.0,112.5
Construction Project Manager,C.SEC | An Executive Search Firm,"Los Angeles, CA","$135K/yr - $195K/yr + Bonus, Stock options · 401(k), +6 benefits",On-site,Other,CA,135.0,195.0,165.0
Construction Project Engineer,"Enhanced Staffing, Inc","Sacramento, CA","$78K/yr - $90K/yr · 401(k), Vision, +2 benefits",On-site,Tech,CA,78.0,90.0,84.0
"Consultant, Mergers & Acquisitions (Mid-Level) ",ERM,"Boston, MA","$78K/yr - $91.8K/yr · 401(k), +1",On-site,Business,MA,78.0,91.8,84.9
Environmental/Air Compliance Professional ,Haley & Aldrich,"Boise, ID",$70K/yr - $100K/yr,Hybrid,Other,ID,70.0,100.0,85.0
Water Resources Civil Engineering Associate II ,LCRA,"Austin, TX","$79.2K/yr - $96.8K/yr · 401(k), +8 benefits",Hybrid,Tech,TX,79.2,96.8,88.0
Transmission Line Engineer (Remote) ,Ulteig,United States,$97.8K/yr - $130K/yr,Remote,Tech,,97.8,130.0,113.9
Project Environmental Engineer ,Roux,"Buffalo, NY",$67.5K/yr - $85K/yr,Hybrid,Tech,NY,67.5,85.0,76.25
Environmental Planner/Scientist ,Haley & Aldrich,"Honolulu, HI",$80K/yr - $90K/yr,Hybrid,Other,HI,80.0,90.0,85.0
Highway Maintenance Worker Trainee 1/Trainee 2/Highway Maintenance Worker 1 (Region 6 Steuben Co.),NYS Department of Transportation,"Painted Post, NY",$37.6K/yr - $46.9K/yr,On-site,Other,NY,37.6,46.9,42.25
Project Geotechnical Engineer ,GeoEngineers Inc.,"Springfield, MO","$78.5K/yr - $106.3K/yr · 401(k), +4 benefits",On-site,Tech,MO,78.5,106.3,92.4
Design Engineer - Stormwater2 ,Muller Engineering Company,"Lakewood, CO",$70K/yr - $85K/yr,On-site,Tech,CO,70.0,85.0,77.5
Sr Program Manager ,HNTB,"Oakland, CA",$272.4K/yr - $494.5K/yr,On-site,Other,CA,272.4,494.5,383.45
"Transportation Project Manager - Olympia, WA ","David Evans and Associates, Inc.","Olympia, WA",$125K/yr · 401(k),Hybrid,Other,WA,125.0,125.0,125.0
Civil Engineer ,Entegee,United States,"$40/hr - $50/hr · 401(k), +5 benefits",Remote,Tech,,83.2,104.0,93.6
Project Scheduling Manager -New York City ,"David Evans and Associates, Inc.","New York, NY","$150K/yr - $225K/yr · 401(k), +1",On-site,Other,NY,150.0,225.0,187.5
Project Manager – Water and Transportation Infrastructure ,Parametrix,"Emeryville, CA","$95K/yr - $150K/yr · 401(k), +1",Hybrid,Other,CA,95.0,150.0,122.5
Professional Engineer - Land Development,CPH,"Linthicum Heights, MD","$79K/yr - $109K/yr · 401(k), +1",Hybrid,Tech,MD,79.0,109.0,94.0
Program Manager – Water and Transportation Infrastructure ,Parametrix,"Emeryville, CA","$160K/yr - $200K/yr · 401(k), +1",Hybrid,Other,CA,160.0,200.0,180.0
Cyber Threat Analyst ,Peraton,"Linthicum, MD",$135K/yr - $216K/yr · 2 benefits,Hybrid,Other,MD,135.0,216.0,175.5
Civil/Structural Engineering Intern,Colliers Engineering & Design,"Columbia, MD",$18/hr - $28/hr,On-site,Tech,MD,37.44,58.24,47.84
Structural Engineer 6- Hydraulic Structures ,CDM Smith,"Denver, CO",$111.2K/yr - $189.1K/yr,Hybrid,Tech,CO,111.2,189.1,150.15
Traveling Construction Materials Technician IV ,Terracon,United States,$23.50/hr - $32.75/hr,Remote,Other,,48.88,68.12,58.5
Team Lead Wastewater Infrastructure ,Weston & Sampson,"Suffern, NY",$130K/yr - $160K/yr,Hybrid,Other,NY,130.0,160.0,145.0
Project Controls Manager ,STV,"Fairfax, VA","$154.2K/yr - $205.6K/yr · Medical, Dental, Vision, 401(k), +1",On-site,Other,VA,154.2,205.6,179.89999999999998
Security Specialist - Customer Service ,Parsons Corporation,"Springfield, VA",$70.5K/yr - $123.4K/yr · 401(k),On-site,Other,VA,70.5,123.4,96.95
Senior Transportation Engineer,Fuss & O'Neill,"Boston, MA",$150K/yr - $165K/yr,Hybrid,Tech,MA,150.0,165.0,157.5
Telecom Construction Manager,Horrocks,"Denver, CO","$80K/yr - $100K/yr · 401(k), +1",On-site,Other,CO,80.0,100.0,90.0
Summer 2025 - Water/Wastewater Intern ,STV,"Fort Worth, TX","$38.9K/yr - $51.9K/yr · Medical, Dental, Vision, 401(k), +1",Hybrid,Other,TX,38.9,51.9,45.4
"Puget Sound Region Water and Environment Market Leader - Bellevue, WA ","David Evans and Associates, Inc.","Bellevue, WA","$185K/yr · 401(k), +1",On-site,Other,WA,185.0,185.0,185.0
Service and Repair Mechanic (Motor Equipment)-Region 3,NYS Department of Transportation,"Ithaca, NY",$56.5K/yr - $67K/yr,On-site,Other,NY,56.5,67.0,61.75
Construction Special Inspector,RES Engineers Inc,San Francisco Bay Area,$58/hr,On-site,Other,,120.64,120.64,120.64
Summer 2025 - Transportation Intern ,STV,"Owings Mills, MD","$38.9K/yr - $51.9K/yr · Medical, Dental, Vision, 401(k), +1",Hybrid,Other,MD,38.9,51.9,45.4
Project Administrator ,Geosyntec Consultants,"Greenwood Village, CO","$53.2K/yr - $87.4K/yr · 401(k), +1",Hybrid,Other,CO,53.2,87.4,70.30000000000001
Design-Build Structures Lead,Horrocks,"Houston, TX","$130K/yr - $180K/yr · 401(k), +1",On-site,Other,TX,130.0,180.0,155.0
"Water/Wastewater Engineering Project Manager - Seattle, WA ","David Evans and Associates, Inc.","Seattle, WA","$100K/yr - $170K/yr · 401(k), +1",On-site,Tech,WA,100.0,170.0,135.0
BIM Digital Design Specialist ,HDR,"Denver, CO",$38.17/hr - $54.52/hr · 1,On-site,Other,CO,79.3936,113.4016,96.39760000000001
Highway Maintenance Worker 1/Trainee 1/Trainee 2 (Region 2 - Montgomery County),NYS Department of Transportation,"Fultonville, NY",$46.6K/yr - $55.9K/yr,On-site,Other,NY,46.6,55.9,51.25
Project Manager - Civil Engineering,Fuss & O'Neill,"Providence, RI",$120K/yr - $130K/yr,Hybrid,Tech,RI,120.0,130.0,125.0
Professional Engineer 1 (Civil R6 Construction & Design) NYHELPS,NYS Department of Transportation,"Hornell, NY",$88.6K/yr - $111.9K/yr,On-site,Tech,NY,88.6,111.9,100.25
"Civil Engineer - Hybrid, & Onsite Available ",HC Solutions Group,United States,$70K/yr - $150K/yr · 4 benefits,Remote,Tech,,70.0,150.0,110.0
Senior Bridge Engineer,Horrocks,"Pleasant Grove, UT","$150K/yr - $200K/yr · 401(k), +1",On-site,Tech,UT,150.0,200.0,175.0
"Consultant, Routing and Siting (Mid-Level) ",ERM,"Holland, MI","$74.3K/yr - $83.7K/yr · 401(k), +1",On-site,Business,MI,74.3,83.7,79.0
Cost Specialist ,"Hill International, Inc.","Pomona, CA","$90K/yr - $122K/yr · 401(k), +2 benefits",Hybrid,Other,CA,90.0,122.0,106.0
Assistant Project Manager - Water Resources,Technical Hires,Dallas-Fort Worth Metroplex,"$120K/yr - $150K/yr · 401(k), +7 benefits",On-site,Other,,120.0,150.0,135.0
Service and Repair Mechanic (Motor Equipment) Region 4- Wyoming County,NYS Department of Transportation,"Warsaw, NY",$58K/yr - $68.8K/yr,On-site,Other,NY,58.0,68.8,63.4
Resident Engineer ,Techno Consult,"Staten Island, NY","$120K/yr - $180K/yr · 401(k), Vision, +3 benefits",On-site,Tech,NY,120.0,180.0,150.0
Senior Cloud Architect - Sensor Integration and Modernization ,Peraton,"Chantilly, VA",$146K/yr - $234K/yr · 2 benefits,On-site,Other,VA,146.0,234.0,190.0
Highway Maintenance Worker 1/Highway Maintenance Worker Trainee 1/Highway Maintenance Worker Trainee 2 (Region 4- Livingston County),NYS Department of Transportation,"Geneseo, NY",$50.4K/yr - $54.8K/yr,On-site,Other,NY,50.4,54.8,52.599999999999994
Engineering Specialist l ,STV,"Harrisburg, PA","$52.9K/yr - $70.5K/yr · Medical, Dental, Vision, 401(k), +1",On-site,Tech,PA,52.9,70.5,61.7
"Technical Director, Environmental Engineer - PFAS SME (Director Level) ",ERM,"Portland, OR","$145.5K/yr - $174.8K/yr · 401(k), +1",On-site,Tech,OR,145.5,174.8,160.15
Water System Planning Engineer,CONSOR Engineers,"Seattle, WA","$110K/yr - $140K/yr · Vision, 401(k)",On-site,Tech,WA,110.0,140.0,125.0
Highway Maintenance Worker 1/ Trainee 1/ Trainee 2 (Region 9 - Chenango),NYS Department of Transportation,"Chenango County, NY",$47.7K/yr - $57.3K/yr,On-site,Other,NY,47.7,57.3,52.5
"Senior Structural Engineer, P.E. - Forensics",EFI Global,"Chicago, IL",$100K/yr - $130K/yr · 1,Remote,Tech,IL,100.0,130.0,115.0
Traveling Construction Materials Technician IV ,Terracon,"Olathe, KS",$23.50/hr - $32.75/hr,Remote,Other,KS,48.88,68.12,58.5
Staff GIS Scientist ,Ramboll,"Syracuse, NY",$58.7K/yr - $67K/yr,On-site,Other,NY,58.7,67.0,62.85
Land Development Project Manager,TYG,"Dallas, TX",$120K/yr - $150K/yr,Hybrid,Other,TX,120.0,150.0,135.0
Construction Inspector (Site/Stormwater/Pipelines) ,GHD,"Bowie, MD",$33.23/hr - $49.85/hr,On-site,Other,MD,69.1184,103.688,86.4032
Internship - Environmental Engineer or Scientist,Fuss & O'Neill,"Hartford, CT",$25/hr,Hybrid,Tech,CT,52.0,52.0,52.0
SITEC - Network Engineer - Hurlburt Field ,Peraton,"Hurlburt Field, FL",$80K/yr - $128K/yr · 2 benefits,On-site,Tech,FL,80.0,128.0,104.0
Environmental/Air Compliance Project Manager ,Haley & Aldrich,"Greenville, SC",$90K/yr - $140K/yr,Hybrid,Other,SC,90.0,140.0,115.0
Senior Project Engineer,Colliers Engineering & Design,"Albany, NY",$100.4K/yr - $119.5K/yr · 1,On-site,Tech,NY,100.4,119.5,109.95
Structural Designer,AEC Resources,Greater Bloomington Area,$80K/yr - $110K/yr · 10 benefits,Hybrid,Other,,80.0,110.0,95.0
Senior Civil Engineer,El Dorado Irrigation District,"Placerville, CA",$128.0K/yr - $155.6K/yr,On-site,Tech,CA,128.0,155.6,141.8
Senior Project Manager | Ground Up,E-Frontiers,"New York, NY",$160K/yr - $205K/yr · 4 benefits,On-site,Other,NY,160.0,205.0,182.5
Scheduler (Various Levels) ,Parametrix,"Emeryville, CA","$90K/yr - $125K/yr · 401(k), +1",Hybrid,Other,CA,90.0,125.0,107.5
Assistant Construction Superintendent,C.SEC | An Executive Search Firm,"Orange County, CA","$97.5K/yr - $127.5K/yr + Bonus, Stock options · 401(k), +7 benefits",On-site,Other,CA,97.5,127.5,112.5
"Deputy Director, Planning ","Matrix Design Group, Inc.","Phoenix, AZ",$100K/yr - $165K/yr · 1,On-site,Other,AZ,100.0,165.0,132.5
"Intern Engineering Designer, Roads and Highways ",TYLin,"Bellevue, WA",$20/hr - $30/hr · 1,On-site,Tech,WA,41.6,62.4,52.0
Highway Maintenance Worker 1/ Trainee 1/ Trainee 2 (Region 9 - Broome),NYS Department of Transportation,"Broome County, NY",$47.7K/yr - $57.3K/yr,On-site,Other,NY,47.7,57.3,52.5
Civil Engineer,Naval Facilities Engineering Systems Command (NAVFAC),"Spokane, WA","$87.2K/yr - $113.4K/yr · Medical, Vision, +5 benefits",Hybrid,Tech,WA,87.2,113.4,100.30000000000001
Internship ,Muller Engineering Company,"Lakewood, CO",$20/hr - $23/hr,On-site,Other,CO,41.6,47.84,44.72
Full Stack Developer ,Parsons Corporation,"Springfield, VA",$149.9K/yr - $269.8K/yr · 401(k),On-site,Tech,VA,149.9,269.8,209.85000000000002
Architecture Intern ,GHD,"Syracuse, NY",$21/hr - $23/hr,On-site,Other,NY,43.68,47.84,45.760000000000005
Senior Planner- AICP Certification ,Parsons Corporation,"Norfolk, VA",$70.5K/yr - $123.4K/yr · 401(k),On-site,Other,VA,70.5,123.4,96.95
Process Mechanical Municipal Engineer Intern ,GHD,"Syracuse, NY",$22/hr - $23/hr,On-site,Tech,NY,45.76,47.84,46.8
Senior Structural Engineer (Building Design) ,STV,"Philadelphia, PA","$122.8K/yr - $163.7K/yr · Medical, Dental, Vision, 401(k), +1",On-site,Tech,PA,122.8,163.7,143.25
Process Engineer ,Mott MacDonald,"Houston, TX","$100K/yr - $120K/yr · 401(k), Vision, +1",On-site,Tech,TX,100.0,120.0,110.0
Assistant Project Manager - Interior Construction,Henderson Scott US,"New York, NY","$80K/yr - $120K/yr + Bonus, Sign-on  · 9 benefits",On-site,Other,NY,80.0,120.0,100.0
Compliance Coordinator,The Wesson Group,"Johnstown, NY","$65K/yr - $75K/yr + Bonus, Profit sharing · 8 benefits",Hybrid,Other,NY,65.0,75.0,70.0
Highway Maintenance Worker 1/Highway Maintenance Worker Trainee 1/Highway Maintenance Worker Trainee 2(Region 7),NYS Department of Transportation,"Watertown, NY",$46.6K/yr - $50.9K/yr,On-site,Other,NY,46.6,50.9,48.75
Field Biologist (Field Based) ,ERM,"Sacramento, CA","$35.09/hr - $38.46/hr · 401(k), +1",On-site,Other,CA,72.98720000000002,79.99680000000001,76.49200000000002
Construction Inspector,Horrocks,"Boise, ID","$35/hr - $45/hr · 401(k), +1",On-site,Other,ID,72.8,93.6,83.19999999999999
"Managing Consultant, Environmental Remediation (Senior-Level) ",ERM,"Sacramento, CA","$84K/yr - $105K/yr · 401(k), Vision, +1",On-site,Business,CA,84.0,105.0,94.5
Highway Maintenance Worker 1/Highway Maintenance Worker Trainee 1/Highway Maintenance Worker Trainee 2 (Region 4- Wyoming County),NYS Department of Transportation,"Warsaw, NY",$50.4K/yr - $54.8K/yr,On-site,Other,NY,50.4,54.8,52.599999999999994
Senior Project Engineer (Aviation) - Structural ,"Martin/Martin, Inc","Lakewood, CO","$120K/yr - $136K/yr · 401(k), +1",Hybrid,Tech,CO,120.0,136.0,128.0
Design-Build Roadway Lead,Horrocks,"Phoenix, AZ","$130K/yr - $180K/yr · 401(k), +1",On-site,Other,AZ,130.0,180.0,155.0
Water Resources Project Manager,"SuYash Consulting, LLC.","Columbia, MD",$90K/yr - $125K/yr,On-site,Other,MD,90.0,125.0,107.5
Civil Engineering Specialist (Roadway Design) ,STV,"Franklin, TN","$52.9K/yr - $70.5K/yr · Medical, Dental, Vision, 401(k), +1",On-site,Tech,TN,52.9,70.5,61.7
Principal Consultant ,Haley & Aldrich,"San Diego, CA",$163K/yr - $251K/yr,On-site,Business,CA,163.0,251.0,207.0
Cyberspace Joint Operations Planner ,Peraton,"Fort Meade, MD",$112K/yr - $179K/yr · 2 benefits,On-site,Other,MD,112.0,179.0,145.5
Civil/Transmission Line Engineer Intern - Kiewit Power Engineering (Summer 2025) ,Kiewit,"Denver, CO",$20/hr - $24.50/hr,On-site,Tech,CO,41.6,50.96,46.28
Regional Project Manager - Kiewit Power Engineering ,Kiewit,"Los Angeles, CA",$139.1K/yr,On-site,Tech,CA,139.1,139.1,139.1
Construction Superintendent,C.SEC | An Executive Search Firm,"Irvine, CA","$115K/yr - $175K/yr + Bonus, Stock options · 401(k), +7 benefits",On-site,Other,CA,115.0,175.0,145.0
Staff Environmental Engineer I ,Roux,"Oakland, CA",$69K/yr - $75K/yr,Hybrid,Tech,CA,69.0,75.0,72.0
Senior Civil Engineer - Project Manager or Designer ,SEH,"Munster, IN",$120K/yr - $130K/yr,Hybrid,Tech,IN,120.0,130.0,125.0
Highway Maintenance Worker 1/Highway Maintenance Worker Trainee 1/Highway Maintenance Worker Trainee 2 (Region 4- Ontario County),NYS Department of Transportation,"Canandaigua, NY",$50.4K/yr - $54.8K/yr,On-site,Other,NY,50.4,54.8,52.599999999999994
Digital EHS Implementation Expert (Remote) ,AECOM,"Kansas City, MO",$84K/yr - $153K/yr · 1,Remote,Other,MO,84.0,153.0,118.5
Highway Maintenance Worker 1/Trainee 1/Trainee 2 (Temporary) (Region 2 - Herkimer County),NYS Department of Transportation,"Herkimer, NY",$46.6K/yr - $55.9K/yr,On-site,Other,NY,46.6,55.9,51.25
Civil Engineer (7197),ACS Professional Staffing,"Pasco, WA","$82.5K/yr - $116.4K/yr · 401(k), +1",On-site,Tech,WA,82.5,116.4,99.45
Project Manager - Transportation Engineer,Fuss & O'Neill,"New Haven, CT",$120K/yr - $130K/yr,Hybrid,Tech,CT,120.0,130.0,125.0
Graduate Engineer/Geologist/Environmental Scientist ,GHD,"Washington, United States",$65K/yr - $78K/yr · 401(k),On-site,Tech,WA,65.0,78.0,71.5
SITEC -Network Engineer - Hurlburt Field ,Peraton,"Hurlburt Field, FL",$66K/yr - $106K/yr · 2 benefits,On-site,Tech,FL,66.0,106.0,86.0
Civil Engineer / PE / EIT / Land Surveyors,Hunter Engineering Inc.,"Scottsdale, AZ","$75K/yr - $120K/yr + Bonus, Sign-on , Overtime",On-site,Tech,AZ,75.0,120.0,97.5
Administrative Assistant,Riley Engineering,"Tucson, AZ","$18/hr - $27/hr · Vision, 401(k)",On-site,Other,AZ,37.44,56.16,46.8
Senior Professional Engineer - Water Resources,Horrocks,"Las Cruces, NM","$100K/yr - $150K/yr · 401(k), +1",On-site,Tech,NM,100.0,150.0,125.0
Highway Maintenance Worker 1/Highway Maintenance Worker Trainee 1/Highway Maintenance Worker Trainee 2(Region 4- Genesee County),NYS Department of Transportation,"Batavia, NY",$50.4K/yr - $54.8K/yr,On-site,Other,NY,50.4,54.8,52.599999999999994
Civil Engineering Intern ,Kimley-Horn,"Broomfield, CO",$23/hr - $29/hr,On-site,Tech,CO,47.84,60.32,54.08
Design-Build Project Manager,Horrocks,"Englewood, CO","$130K/yr - $180K/yr · 401(k), +1",On-site,Other,CO,130.0,180.0,155.0
Electrical Engineer - Hydrocarbons ,"Atwell, LLC","Denver, CO","$95K/yr - $125K/yr · 401(k), +1",On-site,Tech,CO,95.0,125.0,110.0
"Managing Consultant, Land Services (Senior Level) ",ERM,"Minneapolis, MN","$82.8K/yr - $95K/yr · 401(k), +1",On-site,Business,MN,82.8,95.0,88.9
Sr Cost Engineer ,"Hill International, Inc.","Rosemead, CA","$110K/yr - $130K/yr · 401(k), +2 benefits",Hybrid,Tech,CA,110.0,130.0,120.0
Construction Inspector,Horrocks,"Cottonwood Heights, UT","$25/hr - $50/hr · 401(k), +1",On-site,Other,UT,52.0,104.0,78.0
Civil Engineer Conveyance ,Russell Tobin,"Sacramento, CA",$115K/yr - $145K/yr,Hybrid,Tech,CA,115.0,145.0,130.0
Senior Cloud Computing Engineer ,Peraton,"Fort Huachuca, AZ",$146K/yr - $234K/yr · 2 benefits,On-site,Tech,AZ,146.0,234.0,190.0
Rail & Transit Engineering Operations Senior Manager ,STV,"Baltimore, Maryland, United States","$122.8K/yr - $163.7K/yr · Medical, Dental, Vision, 401(k), +1",On-site,Tech,MD,122.8,163.7,143.25
Knowledge Management Specialist ,Peraton,"Washington, DC",$104K/yr - $166K/yr · 2 benefits,On-site,Other,DC,104.0,166.0,135.0
Senior Bridge Engineer ,Mark Thomas,"Irvine, CA","$117K/yr - $170K/yr · 401(k), Vision, Dental, +1",Hybrid,Tech,CA,117.0,170.0,143.5
Program Financial Analyst ,Peraton,United States,$51K/yr - $82K/yr · 2 benefits,Remote,Other,,51.0,82.0,66.5
